1	Engineering	Research and Development	1998-06-01 00:00:00.000
2	Tool Design	Research and Development	1998-06-01 00:00:00.000
3	Sales	Sales and Marketing	1998-06-01 00:00:00.000
4	Marketing	Sales and Marketing	1998-06-01 00:00:00.000
5	Purchasing	Inventory Management	1998-06-01 00:00:00.000
6	Research and Development	Research and Development	1998-06-01 00:00:00.000
7	Production	Manufacturing	1998-06-01 00:00:00.000
8	Production Control	Manufacturing	1998-06-01 00:00:00.000
9	Human Resources	Executive General and Administration	1998-06-01 00:00:00.000
10	Finance	Executive General and Administration	1998-06-01 00:00:00.000
11	Information Services	Executive General and Administration	1998-06-01 00:00:00.000
12	Document Control	Quality Assurance	1998-06-01 00:00:00.000
13	Quality Assurance	Quality Assurance	1998-06-01 00:00:00.000
14	Facilities and Maintenance	Executive General and Administration	1998-06-01 00:00:00.000
15	Shipping and Receiving	Inventory Management	1998-06-01 00:00:00.000
16	Executive	Executive General and Administration	1998-06-01 00:00:00.000
